rr_number,account_id,k_number,consumer_name,service_address,tariff_category,sanctioned_load_kw,phone
4333023073,1094874690,KN-000001,Rao Corp,"Survey No. 78, KIADB Industrial Estate, Peenya Industrial Area Phase 1, Yeshwanthpur, 560058",LT-3,11.73,6047419505
1462460905,5953469207,KN-000002,Rao Corp,"Survey No. 78, KIADB Industrial Estate, Peenya Industrial Area Phase 1, Yeshwanthpur, 560058",LT-3,37.98,8817466807
PU12SDDKLO,9375536217,KN-000003,Sunil Anand,"Site No. 112/A, Jigani Indl Area, 562106",HT-1,186.17,
1848406833,0588796751,KN-000004,Naidu Products,"Site No. 112/A, Tumkur Road, Jigani Indl Area, Anekal, 562106",LT-3,77.88,
2948620044,2637789135,KN-000005,Anand Traders,"No. 89/B, Industrial Layout, Jigani Indl Area, Anekal",HT-1,59.6,
XDXBEMULII,4540314388,KN-000006,Kavita Kamath,"No. 3, Industrial Layout, Whitefld, KR Puram",LT-3,31.86,9160910316
7342425961,6526560471,,Menon Manufacturing,"Shed No. 12, Industrial Layout, Dobbaspet Indl, Nelamangala, 572215",LT-3,194.32,7722076278
1322279370,6601345873,KN-000007,Naveen Rao,"Shed No. 12, Nelamangala Indl",LT-3,46.23,
3665631557,2002655823,KN-000008,Bhat Engineering Pvt Ltd,"No. 3, Industrial Layout, Nelamangala Indl, Nelamangala, 562123",LT-3,47.18,
0210570742,2805287356,KN-000009,Vinod Rao,"No. 3, Industrial Layout, Nelamangala Indl, Nelamangala",LT-3,18.58,7644996734
2308705572,1252593747,,Kumar Engineering & Co,"Site No. 112/A, Tumkur Road, Peenya 3rd Stg, Yeshwanthpur",LT-3,25.74,6580800160
2406996054,0752564919,KN-000010,Kumar Engineering & Co,"Site No. 112/A, Tumkur Road, Peenya 3rd Stg, Yeshwanthpur, 560058",LT-3,15.84,9426280960
9370294394,6606770176,,Rajesh Krishnan,"No. 3, Nelamangala Indl, 562123",LT-3,19.25,9454030533
4523831555,6594742687,KN-000011,Desai Agencies LLP,"Survey No. 78, 3rd Cross, 4th Main, E-City Ph 1, Anekal, 560100",LT-3,27.47,
4633818661,9211592416,KN-000012,Naidu Pharma & Co,"No. 3, Yeshwantpur, 560022",HT-1,629.3,8780181342
9577424762,8028081827,KN-000013,Raghavan Products & Co,"Site No. 56, 3rd Cross, 4th Main, Whitefld, KR Puram, 560066",LT-3,43.75,
7870680914,9499838803,KN-000014,Shetty Products Pvt Ltd,"Survey No. 123, KIADB Industrial Estate, E-City Ph 2, Anekal, 560100",LT-3,34.9,
XYH4HLJZZX,1853679700,KN-000015,Karthik Acharya,"Site No. 56, Tumkur Road, E-City Ph 1, Anekal, 560100",LT-3,6.79,9056235285
2431985974,3472035918,,Verma Fabricators LLP,"Plot No. 42, 3rd Cross, 4th Main, Yeshwantpur, Yeshwanthpur, 560022",HT-2,194.8,6327723997
2238773202,7511445923,KN-000016,Anita Pai,"Survey No. 123, Bommasandra Ph 4, 560099",LT-3,10.4,
6729503747,3532050828,KN-000017,Menon Engineering Pvt Ltd,"Survey No. 78, Industrial Layout, Yeshwanthpur, Yeshwanthpur",HT-1,162.69,6795939912
3990699259,1729180768,KN-000018,Anand Bhat,"Plot No. 7, KIADB Anekal",LT-3,16.93,9984351486
1082390137,5805640918,KN-000019,Lakshmi Naidu,"Plot No. 7, Service Road, KIADB Industrial Area Anekal, Anekal, 562106",LT-3,9.56,8203540008
8055859075,7115591177,,Shetty Exports Pvt Ltd,"Survey No. 78, Tumkur Road, Whitefld, KR Puram, 560066",LT-3,44.61,7216608327
2226589641,1826977288,KN-000020,Anita Desai,"Plot No. 18, Service Road, Bommasandra Industrial Area Phase 4, Anekal, 560099",LT-3,14.82,8552643232
9615208843,1042947598,KN-000021,Manoj Verma,"Plot No. 18, Service Road, Bommasandra Industrial Area Phase 4, Anekal, 560099",LT-3,37.1,7881012871
NH21YGIIFO,1947198029,KN-000022,Sharma Enterprises Pvt Ltd,"No. 3, Industrial Layout, Bommasandra Indl, Anekal, 560099",LT-3,5.99,8765018014
9273314486,4481179819,KN-000023,Nair Foods & Co,"Site No. 56, Industrial Layout, Peenya Industrial Area Phase 1, Yeshwanthpur, 560058",LT-3,30.6,
KAJTSYMWKN,4388837573,KN-000024,Verma Corp & Co,"Site No. 56, Ring Road, Rajaji Ngr, Bangalore North, 560010",LT-3,9.38,
3184874211,8281370661,,Verma Corp & Co,"Site No. 56, Rajaji Ngr, 560010",LT-3,25.58,
3466526357,6603476907,KN-000025,Subramanian Systems Pvt Ltd,"Survey No. 78, 3rd Cross, 4th Main, Nelamangala Industrial Area, Nelamangala, 562123",HT-2,689.49,7792161153
4065667570,9173074364,KN-000026,Joshi Industries Ltd,"Shed No. 12, Industrial Layout, Yeshwanthpur, Yeshwanthpur",LT-3,159.48,8908105350
0005054595,5947327724,KN-000027,Iyer Enterprises LLP,"No. 3, Tumkur Road, Jigani Industrial Area, Anekal, 562106",LT-3,22.86,7711558179
1955076204,9818678162,,Desai Systems Pvt Ltd,"No. 45/2, Service Road, Peenya Industrial Area Phase 1, Yeshwanthpur",LT-3,20.42,7596861958
1549573181,2791578660,KN-000028,Naidu Exports LLP,"Shed No. 12, 3rd Cross, 4th Main, KIADB Industrial Area Anekal, Anekal, 562106",LT-3,33.61,8200396575
6239508206,8094382969,KN-000029,Sunil Shetty,"Shed No. 12, Service Road, Bommasandra Indl, Anekal, 560099",LT-3,77.58,6109408983
3445968785,8187404186,KN-000030,Chandra Industries Pvt Ltd,"Plot No. 88, Bommasandra Indl, 560099",LT-3,19.21,7084643359
2261806834,9524961566,KN-000031,Shetty Works Pvt Ltd,"Plot No. 88, Industrial Layout, Bommasandra Indl, Anekal",LT-3,28.56,
3230883409,9404220345,KN-000032,Shetty Works Pvt Ltd,"Plot No. 88, Bommasandra Indl, 560099",LT-3,12.35,7576626521
1423069240,7532956617,KN-000033,Kamath Solutions & Co,"Shed No. 7B, 3rd Cross, 4th Main, Electronic City Phase 1, Anekal, 560100",HT-1,54.62,7771297784
6318442611,3728950122,KN-000034,Kamath Solutions & Co,"Shed No. 7B, 3rd Cross, 4th Main, Electronic City Phase 1, Anekal, 560100",LT-3,164.15,7309816712
9846832535,7349002018,KN-000035,Deepa Sharma,"No. 89/B, Industrial Layout, Rajajinagar, Bangalore North, 560010",LT-3,49.3,
5504128223,5520344878,KN-000036,Kavita Hegde,"No. 89/B, Industrial Layout, Rajaji Ngr, Bangalore North",LT-3,33.9,9488266073
0726182383,4372575696,KN-000037,Krishnan Enterprises Pvt Ltd,"No. 89/B, Whitefld",LT-3,21.95,8060328680
9662219935,2158837519,,Krishnan Foods Pvt Ltd,"Survey No. 78, Service Road, Nelamangala Indl, Nelamangala",LT-3,145.0,
3424073367,5587548095,KN-000038,Kumar Plastics & Co,"Plot No. 42, Nelamangala Indl",LT-3,129.23,8721296946
NELWJEB0GW,8803671707,KN-000039,Kumar Plastics & Co,"Plot No. 42, Industrial Layout, Nelamangala Industrial Area, Nelamangala, 562123",LT-3,123.81,9013881170
5661769469,9263593155,KN-000040,Naveen Rao,"Survey No. 123, Peenya 2nd Stg, 560058",LT-3,27.16,6726403826
2317794045,1975718896,KN-000041,Chandra Corp LLP,"Plot No. 7, Peenya Ind Area Ph 1, 560058",LT-3,37.61,
8765974189,4467422869,KN-000042,Joshi Plastics & Co,"Plot No. 18, Industrial Layout, Peenya Industrial Area Phase 3, Yeshwanthpur, 560058",LT-3,36.48,9148235547
9059120456,7442115834,KN-000043,Rajesh Patel,"Shed No. 12, KIADB Industrial Estate, KIADB Industrial Area Anekal, Anekal, 562106",LT-3,61.48,
5339216537,2655627041,KN-000044,Nair Agencies Ltd,"Shed No. 7B, Ring Road, Whitefld, KR Puram",HT-2,313.83,7631721509
4696096949,8320637775,KN-000045,Pillai Tech Ltd,"Plot No. 7, KIADB Industrial Estate, E-City Ph 1, Anekal, 560100",LT-3,20.18,
1126049766,7272039281,KN-000046,Karthik Gowda,"No. 45/2, 3rd Cross, 4th Main, Whitefield, KR Puram",LT-3,49.07,6971052481
9627955944,8775098459,KN-000047,Pai Systems & Co,"No. 45/2, Whitefld, 560066",LT-3,35.68,8047610316
UB4TOGOV5K,9016490711,KN-000048,Krishnan Foods Pvt Ltd,"Plot No. 7, 3rd Cross, 4th Main, Dobbaspet Indl, Nelamangala",LT-2,18.83,
8954620118,9419032268,KN-000049,Verma Foods & Co,"Plot No. 7, 3rd Cross, 4th Main, Bommasandra Indl, Anekal, 560099",HT-1,631.27,7753163730
8324481943,1769216018,KN-000050,Anita Joshi,"Plot No. 7, 3rd Cross, 4th Main, Bommasandra Indl, Anekal, 560099",HT-1,644.22,
8908408291,2648562951,KN-000051,Iyer Traders Pvt Ltd,"Survey No. 78, Ring Road, E-City Ph 1, Anekal",LT-3,24.97,8436356843
UE9HYR1CG5,9729866120,KN-000052,Meena Shetty,"Survey No. 78, Ring Road, Electronic City Phase 1, Anekal",LT-3,10.69,8495109799
5562897967,7931406106,KN-000053,Naidu Agencies & Co,"Shed No. 12, Ring Road, Yeshwanthpur, Yeshwanthpur",LT-2,21.08,
1894080689,4360971179,KN-000054,Naveen Nair,"Shed No. 12, Service Road, Bommasandra Industrial Area, Anekal",HT-1,119.43,
7921224805,6154227143,KN-000055,Subramanian Systems Pvt Ltd,"Survey No. 78, 3rd Cross, 4th Main, Nelamangala Industrial Area, Nelamangala, 562123",HT-1,696.96,9393818839
9208228968,7408894487,,Menon Engineering Pvt Ltd,"Survey No. 78, Industrial Layout, Yeshwanthpur, Yeshwanthpur, 560022",LT-3,171.9,
4006671463,0159878673,KN-000056,Krishnan Foods Pvt Ltd,"Survey No. 78, Nelamangala Indl, 562123",LT-3,81.71,7338500562
MGU1ML5Y6K,0579842298,KN-000057,Shetty Corp Pvt Ltd,"Shed No. 12, KIADB Industrial Estate, KIADB Anekal, Anekal",HT-1,101.13,
1709242560,4893234505,KN-000058,Naidu Pharma & Co,"No. 3, Industrial Layout, Yeshwanthpur, Yeshwanthpur, 560022",HT-1,456.11,
0539618011,4340742394,,Menon Manufacturing,"Shed No. 12, Industrial Layout, Dobbaspet Indl, Nelamangala, 572215",HT-1,159.65,
3839718670,1202749903,,Priya Nair,"Plot No. 42, Yeshwantpur",HT-2,447.54,
8562907192,4032913913,KN-000059,Anand Traders,"No. 89/B, Industrial Layout, Jigani Indl Area, Anekal, 562106",HT-1,172.91,6693779520
3009331980,8172761448,KN-000060,Ravi Acharya,"Shed No. 7B, Ring Road, Whitefld, KR Puram, 560066",HT-1,383.38,9043160596
