knca_number,account_id,consumer_number,consumer_name,service_address,tariff_category,connection_size_mm,phone
BW03082462,BWS815131,34256684,Krishnan Enterprises Private Limited,"Whitefield, KR Puram, bengaluru urban, 560066",commercial,25,
K35181909,BWS575198,58530762,Patel Shetty,"Plot No. 7, 3rd Cross, 4th Main, Bommasandra Industrial Area, Anekal, Bengaluru Urban, 560099",industrial,50,
W31948757,BWS259367,75627516,Lakshmi Rao,"Shed No. 12, Industrial Layout, Dobbaspeta Ind Area, Nelamangala, 572215",commercial,25,9467279627
K18955597,BWS383051,73632401,Verma Fabricators LLP,"Plot No. 42, 3rd Cross, 4th Main, Yeshwanthpur, Yeshwanthpur, Bengaluru Urban, 560022",commercial,25,
W04974650,BWS617674,17912728,Sharma Enterprises Private Limited,"No. 3, Industrial Layout, Bommasandra Industrial Area - 560099, Bommasandra Industrial Area, Anekal, Bengaluru Urban",commercial,25,
BW23667127,BWS676947,47369042,Menon Enterprises Pvt Ltd,"No. 89/B, Ring Road, E-City Ph 1, Anekal, 560100",commercial,25,9562269100
BW63212233,BWS660559,59560375,Iyer Reddy,"Shed No. 12, 3rd Cross, 4th Main, KIADB Industrial Area Anekal, Anekal, Bengaluru Urban, 562106",commercial,20,9549840379
K95289078,BWS519894,18354761,Naidu Exports LLP,"Shed No. 12, 3rd Cross, 4th Main, KIADB Industrial Area Anekal, Anekal, Bengaluru Urban, 562106",commercial,25,9781063234
W72159010,BWS743550,13422671,Nair Foods & Co,"Site No. 56, Industrial Layout, Peenya Industrial Area Phase 1, Yeshwanthpur, 560058",commercial,25,
W96245957,BWS207151,55987803,Naidu Gowda,"Survey No. 123, KIADB Industrial Estate, Electronic City Phase 2, Anekal, Bengaluru Urban, 560100",commercial,25,9254744982
BW28038528,BWS195431,45046288,Hegde Exports,"Survey No. 78, Industrial Layout, Yeshwanthpur, Yeshwanthpur, Bengaluru Urban, 560022",industrial,50,9790326952
K52538885,BWS895158,36192056,Hegde Exports,"Survey No. 78, Industrial Layout, Yeshwanthpur, Yeshwanthpur, Bengaluru Urban, 560022",commercial,25,
BW33875004,BWS461004,70025882,Murthy Agencies Pvt Ltd,"Survey No. 123, KIADB Industrial Estate, Peenya Industrial Area Phase 2, Yeshwanthpur, 560058",commercial,20,
K55131373,BWS739906,10256129,Murthy Agencies Pvt Ltd,"Survey No. 123, KIADB Industrial Estate, Peenya Industrial Area Phase 2, Yeshwanthpur, 560058",commercial,25,
K51163726,BWS856888,63128543,Bhat Engineering Private Limited,"Nelamangala Industrial Area, Nelamangala, bengaluru rural, 562123",commercial,25,
K12220297,BWS597399,98217056,Naidu Pharma & Co,"No. 3, Industrial Layout, Yeshwanthpur, Yeshwanthpur, Bengaluru Urban, 560022",commercial,20,
W88200182,BWS321293,13757254,Iyer Enterprises LLP,"No. 3, Tumkur Road, Jigani Industrial Area - 562106, Jigani Industrial Area, Anekal, Bengaluru Urban",industrial,50,
BW34839548,BWS470969,71493326,Iyer Enterprises LLP,"No. 3, Tumkur Road, Jigani Industrial Area - 562106, Jigani Industrial Area, Anekal, Bengaluru Urban",commercial,20,
K68282880,BWS913735,30106149,Bhat Works LLP,"Survey No. 123, 3rd Cross, 4th Main, Bommasandra Ph 4, Anekal, 560099",industrial,50,
BW91805888,BWS159582,43352343,Naidu Pharma & Co,"No. 3, Industrial Layout, Yeshwanthpur, Yeshwanthpur, 560022",industrial,50,
W18780175,BWS826381,47203213,Pai Industries Ltd,"Plot No. 18, Service Road, Bommasandra Industrial Area Phase 4, Anekal, Bengaluru Urban, 560099",commercial,25,
K78384837,BWS549145,19814103,Lakshmi Shetty,"KIADB Industrial Area Anekal, Anekal, bengaluru urban, 562106",commercial,25,9358383902
BW12524273,BWS270703,99635023,Desai Systems Pvt Ltd,"No. 45/2, Service Road, Peenya Industrial Area Phase 1 - 560058, Peenya Industrial Area Phase 1, Yeshwanthpur, Bengaluru Urban",commercial,20,
W68656355,BWS837307,12426922,Anand Kumar,"Survey No. 78, 3rd Cross, 4th Main, Electronic City Phase 1, Anekal, 560100",commercial,25,
BW58948113,BWS916838,34367415,Desai Agencies LLP,"Survey No. 78, 3rd Cross, 4th Main, Electronic City Phase 1, Anekal, 560100",commercial,20,9142507489
W64628897,BWS292250,67085086,Raghavan Products & Co,"Site No. 56, 3rd Cross, 4th Main, Whitefield, KR Puram, 560066",domestic,15,9838955107
BW01419314,BWS538053,45951526,Murthy Industries Pvt Ltd,"Plot No. 7, Service Road, KIADB Industrial Area Anekal - 562106, KIADB Industrial Area Anekal, Anekal, Bengaluru Urban",commercial,25,9693848076
K20831240,BWS624380,33877318,Ramesh Naidu,"Plot No. 7, Service Road, KIADB Industrial Area Anekal - 562106, KIADB Industrial Area Anekal, Anekal, Bengaluru Urban",commercial,25,9578552639
W40008838,BWS781685,68005893,Acharya Foods,"Survey No. 78, Service Road, Nelamangala Industrial Area, Nelamangala, Bengaluru Rural, 562123",industrial,100,9979308807
K68433532,BWS114947,19492255,Shetty Products Private Limited,"Electronic City Phase 2, Anekal, bengaluru urban, 560100",commercial,25,9239391647
BW62016849,BWS103798,45331886,Ramesh Kumar,"Plot No. 42, Tumkur Road, Nelamangala Industrial Area, Nelamangala, 562123",commercial,25,9578700535
