establishment_registration_no,name,address,nature_of_business,date_of_commencement,pan,gstin,phone,email,employee_count
SE-220001,M/s Rao Corp,"Survey No. 78, KIADB Industrial Estate, Peenya Industrial Area Phase 1, Yeshwanthpur, 560058",Pharmaceutical manufacturing,2011-04-15,CRHPR9835D,,9916547754,msraocorp26@outlook.com,38
SE-210002,M/s Naidu Products,"Site No. 112/A, Tumkur Road, Jigani Industrial Area, Anekal",Chemical manufacturing,2015-05-27,CRHPR9835D,,9952713783,msnaiduproducts48@company.in,123
SE-190003,Anand Traders,"No. 89/B, Industrial Layout, Jigani Industrial Area, Anekal",Metal fabrication,2019-11-03,,,9780964638,,121
SE-210004,M/s Pillai Systems,"No. 3, Industrial Layout, Whitefld, KR Puram, 560066",Textile / garment,2008-04-21,,,8119484034,mspillaisystems75@rediffmail.com,14
SE-210005,Menon Manufacturing,"Shed No. 12, Industrial Layout, Dobbaspeta Ind Area, Nelamangala, 572215",Food processing,2018-03-26,,,7594394556,,118
SE-180006,Menon Industries Ltd,"Shed No. 12, Service Road, Nelamangala Industrial Area, Nelamangala",Electronics / IT hardware,2003-09-04,JZSCP9337V,,,menonindustriesltd64@yahoo.com,35
SE-220007,Bhat Engineering Pvt Ltd,"No. 3, Industrial Layout, Nelamangala Industrial Area, Nelamangala, 562123",Plastic products,2000-12-16,JZSCP6876N,,7657553918,,36
SE-190008,M/s Kumar Engineering & Co,"Site No. 112/A, Tumkur Road, Peenya Industrial Area Phase 3, Yeshwanthpur",Printing and publishing,2001-04-08,JZSCP6433E,,,mskumarengineering60@gmail.com,35
SE-210009,Iyer Enterprises Pvt Ltd,"No. 3, 3rd Cross, 4th Main, Nelamangala Indl, Nelamangala, 562123",Rubber products,2011-04-04,,,9639989296,iyerenterprisespvt35@gmail.com,34
SE-200010,Desai Agencies LLP,"Survey No. 78, 3rd Cross, 4th Main, Electronic City Phase 1, Anekal, 560100",Auto components,1999-11-18,,,,desaiagenciesllp67@yahoo.com,35
SE-180011,Naidu Pharma & Co,"No. 3, Industrial Layout, Yeshwanthpur, Yeshwanthpur, 560022",Electrical equipment,2020-08-05,MWXFA3972S,,,naidupharmaco5@rediffmail.com,355
SE-210012,Raghavan Products & Co,"Site No. 56, 3rd Cross, 4th Main, Whitefield, KR Puram, 560066",Paper / packaging,2005-10-20,,,9687260113,raghavanproductsco89@yahoo.com,6
SE-180013,Shetty Products (P) Ltd,"Survey No. 123, KIADB Industrial Estate, E-City Ph 2, Anekal, 560100",Electrical equipment,2006-03-12,,,8959817402,shettyproductspltd90@yahoo.com,30
SE-210014,Krishnan Plastics & Co,"Site No. 56, Tumkur Road, E-City Ph 1, Anekal, 560100",Electronics / IT hardware,2004-11-21,,,9068941037,krishnanplasticsco41@rediffmail.com,16
SE-210015,Verma Fabricators LLP,"Plot No. 42, 3rd Cross, 4th Main, Yeshwanthpur, Yeshwanthpur, 560022",Food processing,2015-01-27,VBIFZ1475C,,9160661010,vermafabricatorsll45@outlook.com,358
SE-230016,Bhat Works LLP,"Survey No. 123, 3rd Cross, 4th Main, Bommasandra Ph 4, Anekal, 560099",Plastic products,1998-03-24,RRJFW9792E,,8660373732,,7
SE-190017,M/s Menon Engineering Pvt Ltd,"Survey No. 78, Industrial Layout, Yeshwanthpur, Yeshwanthpur",Plastic products,2008-05-28,,,8819855017,msmenonengineering8@yahoo.com,120
SE-200018,Murthy Industries Pvt Ltd,"Plot No. 7, Service Road, KIADB Anekala, Anekal, 562106",Electronics / IT hardware,2004-05-02,CZECG1473P,,,murthyindustriespv73@yahoo.com,33
SE-230019,Shetty Exports P. Ltd,"Survey No. 78, Tumkur Road, Whitefield, KR Puram",Rubber products,2004-07-22,LYXCR1956I,,6334605183,shettyexportspltd34@company.in,35
SE-200020,Pai Industries Ltd,"Plot No. 18, Service Road, Bommasandra Industrial Area Phase 4, Anekal",Metal fabrication,2007-09-22,HFUCI4657Y,,6923773760,paiindustriesltd53@company.in,37
SE-230021,Sharma Enterprises Pvt Ltd,"No. 3, Industrial Layout, Bommasandra Indl, Anekal, 560099",Textile / garment,2022-02-25,GMWCK6164G,,8354106564,sharmaenterprisesp16@company.in,27
SE-180022,Nair Foods & Co,"Site No. 56, Industrial Layout, Peenya Ind Area Ph 1, Yeshwanthpur, 560058",Paper / packaging,2021-08-15,,,6626181711,nairfoodsco26@outlook.com,34
SE-230023,Verma Corp & Co,"Site No. 56, Ring Road, Rajajinagar, Bangalore North",Electrical equipment,2015-08-14,,,6060857729,,11
