licence_number,form2_registration_no,factory_name,address,village_town,taluk,district,pin_code,nature_of_manufacturing,nic_code,occupier_pan,gstin,phone,email,employee_count,installed_hp,constitution_type,registration_date,licence_valid_until
KA/FAC/BNG/00001,FB-20180001,Rao Corp,"Survey No. 78, KIADB Industrial Estate, Peenya Industrial Area Phase 1 - 560058",Peenya Industrial Area Phase 1,Yeshwanthpur,Bengaluru Urban,,Pharmaceutical manufacturing,21001,CRHPR9835D,,,,38,72,Proprietorship,2011-11-21,2014-11-20
KA/FAC/BNG/00002,FB-20200002,Naidu Products,"Site No. 112/A, Tumkur Road",Jigani Industrial Area,Anekal,Bengaluru Urban,562106,Chemical manufacturing,20119,CRHPR9835D,,8958706853,naiduproducts85@rediffmail.com,123,177,Proprietorship,2015-09-29,2017-09-28
KA/FAC/BNG/00003,FB-20220003,Anand Traders,"No. 89/B, Industrial Layout",Jigani Industrial Area,Anekal,Bengaluru Urban,562106,Metal fabrication,25910,,,7319295201,,121,197,Proprietorship,2020-08-16,2021-08-16
KA/FAC/BNG/00004,FB-20170004,Pillai Systeems,"No. 3, Industrial Layout",Whitefield,KR Puram,Bengaluru Urban,560066,Textile / garment,13111,,,6848773451,pillaisysteems10@company.in,14,32,Proprietorship,2009-04-20,2012-04-19
KA/FAC/BNG/00005,FB-20220005,Menon Manufacturing,"Shed No. 12, Industrial Layout",Dobbaspet Industrial Area,Nelamangala,Bengaluru Rural,572215,Food processing,10101,,,7229977644,menonmanufacturing93@rediffmail.com,118,179,Proprietorship,2019-03-03,2021-03-02
KA/FAC/BNG/00006,FB-20220006,Menon Industries Ltd,"Shed No. 12, Service Road",Nelamangala Industrial Area,Nelamangala,Bengaluru Rural,562123,Electronics / IT hardware,26200,JZSCP9337V,,8295498411,menonindustriesltd59@rediffmail.com,35,79,Pvt Ltd,2004-07-20,2007-07-20
KA/FAC/BNG/00007,FB-20180007,Bhat Engineering Pvt Ltd,"No. 3, Industrial Layout, Nelamangala Industrial Area - 562123",Nelamangala Industrial Area,Nelamangala,Bengaluru Rural,,Plastic products,22209,JZSCP6876N,29JZSCP6876N1Z5,9058454048,,36,57,Pvt Ltd,2001-03-15,2004-03-14
KA/FAC/BNG/00008,FB-20210008,Kumar Engineering & Co,"Site No. 112/A, Tumkur Road",Peenya Industrial Area Phase 3,Yeshwanthpur,Bengaluru Urban,560058,Printing and publishing,18101,JZSCP6433E,29JZSCP6433E1Z5,6980712668,kumarengineeringco98@outlook.com,35,69,Pvt Ltd,2001-09-15,2002-09-15
KA/FAC/BNG/00009,FB-20170009,Iyer Enterprises Pvt Ltd,"No. 3, 3rd Cross, 4th Main",Nelamangala Industrial Area,Nelamangala,Bengaluru Rural,562123,Rubber products,22190,FXWCG6219O,,,iyerenterprisespvt27@outlook.com,34,80,Pvt Ltd,2011-05-20,2012-05-19
KA/FAC/BNG/00010,FB-20220010,Desai Agencies LLP,"Survey No. 78, 3rd Cross, 4th Main, Electronic City Phase 1 - 560100",Electronic City Phase 1,Anekal,Bengaluru Urban,,Auto components,29300,,,6122739746,desaiagenciesllp18@rediffmail.com,35,58,LLP,2000-05-20,2002-05-20
KA/FAC/BNG/00011,FB-20220011,Naidu Pharma & Co,"No. 3, Industrial Layout",Yeshwanthpur,Yeshwanthpur,Bengaluru Urban,560022,Electrical equipment,27900,MWXFA3972S,,7609637940,naidupharmaco66@outlook.com,355,516,Partnership,2021-01-09,2024-01-09
KA/FAC/BNG/00012,FB-20210012,Raghavan Products & Co,"Site No. 56, 3rd Cross, 4th Main",Whitefield,KR Puram,Bengaluru Urban,560066,Paper / packaging,17010,,29BPNFE9015R1Z5,7541340301,,6,28,Partnership,2006-06-23,2007-06-23
KA/FAC/BNG/00013,FB-20180013,Shetty Products Pvt Ltd,"Survey No. 123, KIADB Industrial Estate",Electronic City Phase 2,Anekal,Bengaluru Urban,560100,Electrical equipment,27900,,,7524468052,,30,71,Pvt Ltd,2006-08-15,2009-08-14
KA/FAC/BNG/00014,FB-20190014,Krishnan Plastics & Co,"Site No. 56, Tumkur Road",Electronic City Phase 1,Anekal,Bengaluru Urban,560100,Electronics / IT hardware,26200,AVHFY1115H,,6613279642,,16,20,Partnership,2005-03-04,2006-03-04
KA/FAC/BNG/00015,FB-20210015,Verma Fabricators LLP,"Plot No. 42, 3rd Cross, 4th Main",Yeshwanthpur,Yeshwanthpur,Bengaluru Urban,560022,Food processing,10101,,,,,358,499,LLP,2015-07-13,2018-07-12
KA/FAC/BNG/00016,FB-20200016,Bhat Works LLP,"Survey No. 123, 3rd Cross, 4th Main, Bommasandra Industrial Area Phase 4 - 560099",Bommasandra Industrial Area Phase 4,Anekal,Bengaluru Urban,,Plastic products,22209,RRJFW9792E,29RRJFW9792E1Z5,,,7,23,LLP,1998-06-09,1999-06-09
KA/FAC/BNG/00017,FB-20180017,Hegde Exports,"Survey No. 78, Industrial Layout",Yeshwanthpur,Yeshwanthpur,Bengaluru Urban,560022,Plastic products,22209,,,8909168088,hegdeexports60@gmail.com,120,187,Pvt Ltd,2009-05-23,2010-05-23
KA/FAC/BNG/00018,FB-20200018,Murthy Industries Pvt Ltd,"Plot No. 7, Service Road, KIADB Industrial Area Anekal - 562106",KIADB Industrial Area Anekal,Anekal,Bengaluru Urban,,Electronics / IT hardware,26200,,,6509217983,murthyindustriespv76@yahoo.com,33,73,Pvt Ltd,2004-06-29,2005-06-29
KA/FAC/BNG/00019,FB-20200019,Shetty Exports Private Limited,"Survey No. 78, Tumkur Road",Whitefield,KR Puram,Bengaluru Urban,560066,Rubber products,22190,LYXCR1956I,,9955884584,,35,59,Pvt Ltd,2004-10-09,2005-10-09
KA/FAC/BNG/00020,FB-20210020,Pai Industries Ltd,"Plot No. 18, Service Road",Bommasandra Industrial Area Phase 4,Anekal,Bengaluru Urban,560099,Metal fabrication,25910,HFUCI4657Y,,7755182000,paiindustriesltd26@rediffmail.com,37,57,Public Ltd,2008-03-29,2011-03-29
KA/FAC/BNG/00021,FB-20210021,Sharma Enterprises Private Limited,"No. 3, Industrial Layout, Bommasandra Industrial Area - 560099",Bommasandra Industrial Area,Anekal,Bengaluru Urban,,Textile / garment,13111,GMWCK6164G,,9181039304,sharmaenterprisesp22@outlook.com,27,79,Pvt Ltd,2022-07-07,2024-07-06
KA/FAC/BNG/00022,FB-20180022,Nair Foods & Co,"Site No. 56, Industrial Layout",Peenya Industrial Area Phase 1,Yeshwanthpur,Bengaluru Urban,560058,Paper / packaging,17010,DMNFI7488L,29DMNFI7488L1Z5,9964200154,,34,60,Partnership,2022-04-11,2024-04-10
KA/FAC/BNG/00023,FB-20210023,Verma Corp & Co,"Site No. 56, Ring Road",Rajajinagar,Bangalore North,Bengaluru Urban,560010,Electrical equipment,27900,,,7466188609,vermacorpco61@company.in,11,20,Partnership,2015-10-31,2017-10-30
KA/FAC/BNG/00024,FB-20190024,Subramanian Systems Private Limited,"Survey No. 78, 3rd Cross, 4th Main",Nelamangala Industrial Area,Nelamangala,Bengaluru Rural,562123,Plastic products,22209,,,8853752276,,351,508,Pvt Ltd,2013-04-21,2014-04-21
KA/FAC/BNG/00025,FB-20210025,Gowda Plastics,"Shed No. 12, Industrial Layout, Yeshwanthpur - 560022",Yeshwanthpur,Yeshwanthpur,Bengaluru Urban,,Plastic products,22209,FYMCD0817V,29FYMCD0817V1Z5,7863296457,gowdaplastics15@rediffmail.com,123,183,Pvt Ltd,2023-05-09,2025-05-08
KA/FAC/BNG/00026,FB-20170026,Iyer Enterprises LLP,"No. 3, Tumkur Road, Jigani Industrial Area - 562106",Jigani Industrial Area,Anekal,Bengaluru Urban,,Paper / packaging,17010,,29TYFFD1652S1Z5,7169346355,iyerenterprisesllp41@company.in,29,74,LLP,2018-09-28,2020-09-27
